"chart","panel","panel_order","row_label","row_order","column_label","column_order","category","category_order","count","share","secondary","mark_label"
"Make or Buy","By agency (20+ cases)",3,"STATE  (28)",9,,,"Built in-house",3,8,0.285714285714286,28,"29%"
"Make or Buy","By agency (20+ cases)",3,"TREAS  (48)",6,,,"Purchased from a vendor",1,13,0.270833333333333,48,"27%"
"Make or Buy","By agency (20+ cases)",3,"TREAS  (48)",6,,,"Vendor and in-house",2,16,0.333333333333333,48,"33%"
"Make or Buy","By agency (20+ cases)",3,"TREAS  (48)",6,,,"Built in-house",3,19,0.395833333333333,48,"40%"
"Make or Buy","By agency (20+ cases)",3,"USDA  (86)",4,,,"Purchased from a vendor",1,11,0.127906976744186,86,"13%"
"Make or Buy","By agency (20+ cases)",3,"USDA  (86)",4,,,"Vendor and in-house",2,23,0.267441860465116,86,"27%"
"Make or Buy","By agency (20+ cases)",3,"USDA  (86)",4,,,"Built in-house",3,52,0.604651162790698,86,"60%"
"Make or Buy","By agency (20+ cases)",3,"VA  (159)",13,,,"Purchased from a vendor",1,106,0.666666666666667,159,"67%"
"Make or Buy","By agency (20+ cases)",3,"VA  (159)",13,,,"Vendor and in-house",2,23,0.144654088050314,159,"14%"
"Make or Buy","By agency (20+ cases)",3,"VA  (159)",13,,,"Built in-house",3,30,0.188679245283019,159,"19%"
